keys,en,zh
MENU_SUBTITLE,hex expedition prototype,六边形远征原型
MENU_NEW_GAME,New Game,新的旅程
MENU_CONTINUE,Continue,继续旅程
MENU_RECOVER_HINT,Last mission never returned.,上次出征未曾归来。
MENU_RECOVER,Return to Departure,回到出发时刻
UI_DEPARTURE_TITLE,Set Out on Mission,出征启程
UI_DEPARTURE_HINT,Buy supplies for the road. One supply is consumed per step; marching on empty drains the party's HP.,为旅途购置粮草。每走一步消耗 1 份；断粮行军会耗损全队生命。
UI_SUPPLIES_COUNT,{n} supplies,{n} 份粮草
UI_DEPART_COST,Cost: {cost} gold (have {gold}),花费 {cost} 金币（持有 {gold}）
UI_DEPART,Depart,出发
UI_CANCEL,Cancel,取消
UI_SAVELOAD_TITLE,Save / Load,存档 / 读档
UI_SAVELOAD_HINT,Pick a slot to save or reload the local game state.,选择一个槽位来保存或读取进度。
UI_SLOT_1,Slot 1,槽位 1
UI_SLOT_2,Slot 2,槽位 2
UI_SLOT_3,Slot 3,槽位 3
UI_SAVE,Save,存
UI_LOAD,Load,读
UI_CLOSE,Close,关闭
UI_TAB_PARTY,Party,队伍
UI_TAB_BAG,Bag,背包
UI_TAB_JOURNAL,Journal,日志
UI_MENU,Menu,菜单
UI_HOTKEY_HINT,P Party   B Bag   J Journal   Esc Menu,P 队伍   B 背包   J 日志   Esc 菜单
UI_SUPPLIES,Supplies: {n},粮草：{n}
UI_ABANDON_MISSION,Abandon Mission,放弃出征
UI_ABANDON_CONFIRM,Abandon?! (click again),确定放弃？！（再点一次）
UI_MAP_STYLE,Style: {name},画风：{name}
MAP_STYLE_INK,Ink Facet,墨线面片
MAP_STYLE_MOSS,Moss Wash,苔藓水彩
MAP_STYLE_WATERCOLOR,Bright Wash,明亮水彩
MAP_STYLE_PLAIN_WC,Calm Wash,素净水彩
MAP_STYLE_FLAT,Flat Blocks,扁平色块
MAP_STYLE_CODEX,Codex,Codex
UI_TALK_PROMPT,[E] Talk,[E] 交谈
